City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,299.18,78,75,7.72,CK,1722026613
1,adamstown,-25.066,-130.1015,293.45,73,100,6.19,PN,1722026615
2,kenora,49.8167,-94.4337,301.69,65,75,7.2,CA,1722026617
3,arfoud,31.4348,-4.2375,306.84,16,86,4.96,MA,1722026618
4,susuman,62.7833,148.1667,283.31,55,7,0.52,RU,1722026620
5,albany,42.6001,-73.9662,300.88,46,3,1.34,US,1722026622
6,mohr,54.3528,9.7167,289.9,89,100,2.57,DE,1722026623
7,invercargill,-46.4,168.35,283.16,96,100,0.6,NZ,1722026563
8,rahimatpur,17.6,74.2,295.87,91,100,7.78,IN,1722026626
9,selfoss,63.9331,-20.9971,286.51,82,19,2.85,IS,1722026628
10,novodvinsk,64.4165,40.8122,286.01,65,20,2.29,RU,1722026630
11,kayangel,8.0823,134.7173,301.42,79,100,7.79,PW,1722026631
12,rudbar,30.15,62.6,307.01,21,34,3.81,AF,1722026633
13,zhangjiajie,29.1294,110.4783,298.63,94,0,0.61,CN,1722026634
14,grytviken,-54.2811,-36.5092,272.66,85,100,3.29,GS,1722026636
15,port blair,11.6667,92.75,302.17,84,75,5.14,IN,1722026638
16,kingston,17.997,-76.7936,306.68,66,20,7.2,JM,1722026504
17,slavgorod,52.9978,78.6449,296.46,63,100,3.71,RU,1722026641
18,kiunga,-6.1219,141.2906,296.21,100,100,0.57,PG,1722026643
19,port elizabeth,-33.918,25.5701,285.31,91,0,1.54,ZA,1722026644
20,tiksi,71.6872,128.8694,279.05,73,26,1.51,RU,1722026646
21,bethel,41.3712,-73.414,302.04,47,20,4.63,US,1722026647
22,ilulissat,69.2167,-51.1,278.15,73,100,3.63,GL,1722026649
23,bredasdorp,-34.5322,20.0403,282.25,88,0,2.42,ZA,1722026651
24,chinde,26.8212,87.7095,299.12,87,89,2.14,NP,1722026652
25,razole,16.4833,81.8333,297.49,89,100,4.03,IN,1722026654
26,inirida,3.8653,-67.9239,299.89,92,99,1.1,CO,1722026656
27,manay,7.215,126.5397,297.68,80,100,1.07,PH,1722026657
28,cabedelo,-6.9811,-34.8339,299.52,81,11,5.8,BR,1722026659
29,novyy urengoy,66.0833,76.6333,282.53,93,55,2.06,RU,1722026660
30,harper,4.375,-7.7169,297.72,85,99,4.91,LR,1722026662
31,benguela,-12.5763,13.4055,292.75,87,2,2.92,AO,1722026664
32,stanley,54.868,-1.6985,286.88,76,0,2.06,GB,1722026665
33,sao vicente,-23.9631,-46.3919,300.52,68,100,1.03,BR,1722026667
34,port-aux-francais,-49.35,70.2167,273.0,69,59,19.82,TF,1722026669
35,calingasta,-31.3308,-69.4078,294.19,5,1,1.66,AR,1722026670
36,lihue,21.9789,-159.3672,301.73,73,100,8.75,US,1722026672
37,san patricio,28.017,-97.5169,302.51,61,76,5.58,US,1722026673
38,lompoc,34.6391,-120.4579,308.23,37,0,5.47,US,1722026629
